sample_count, ms, RAW_Acc X1[G], RAW_Acc Y1[G], RAW_Acc Z1[G], RAW_Gyro X1[deg/s], RAW_Gyro Y1[deg/s], RAW_Gyro Z1[deg/s], RAW_Acc X2[G], RAW_Acc Y2[G], RAW_Acc Z2[G], RAW_Gyro X2[deg/s], RAW_Gyro Y2[deg/s], RAW_Gyro Z2[deg/s], RAW_Acc X3[G], RAW_Acc Y3[G], RAW_Acc Z3[G], RAW_Gyro X3[deg/s], RAW_Gyro Y3[deg/s], RAW_Gyro Z3[deg/s], RAW_Acc X4[G], RAW_Acc Y4[G], RAW_Acc Z4[G], RAW_Gyro X4[deg/s], RAW_Gyro Y4[deg/s], RAW_Gyro Z4[deg/s]
148,294,-0.6364746,-0.15795898,0.7312012,987.64886,974.229,5.2824426,0.076171875,-0.24658203,0.96313477,999.0229,997.05347,994.5954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,296,-0.64208984,-0.14233398,0.72753906,987.58777,974.3664,5.3435116,0.11230469,-0.25146484,0.98950195,999.05347,997.12976,994.67175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,299,-0.67407227,-0.15332031,0.7609863,987.55725,974.44275,5.4198475,0.052734375,-0.24682617,0.9628906,999.084,997.1756,994.7939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,301,-0.6516113,-0.14672852,0.7788086,987.5725,974.458,5.40458,0.10595703,-0.21459961,0.9567871,999.0229,997.1756,994.7786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,303,-0.5961914,-0.13110352,0.7668457,987.542,974.4275,5.3587785,0.12719727,-0.22070312,0.9123535,998.9313,997.2214,994.80914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,304,-0.6464844,-0.19091797,0.75146484,987.52673,974.53436,5.374046,0.060791016,-0.2446289,0.9279785,999.05347,997.313,994.8397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,307,-0.6503906,-0.13549805,0.7402344,987.542,974.64124,5.4351144,0.13085938,-0.1965332,0.9550781,999.09924,997.313,994.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,308,-0.6760254,-0.12597656,0.77197266,987.5725,974.6565,5.4503818,0.11621094,-0.22021484,0.96313477,999.0687,997.2977,994.87024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,311,-0.6386719,-0.12963867,0.76660156,987.6641,974.7176,5.4503818,0.099121094,-0.21704102,0.95336914,999.145,997.3435,994.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,313,-0.66503906,-0.15820312,0.74072266,987.603,974.626,5.389313,0.1027832,-0.26220703,0.9470215,999.2825,997.41986,994.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,315,-0.6452637,-0.1394043,0.7504883,987.5725,974.64124,5.328244,0.1171875,-0.2055664,0.9995117,999.4504,997.374,994.80914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,317,-0.6813965,-0.12109375,0.7470703,987.6336,974.5954,5.2824426,0.11279297,-0.22363281,0.9892578,999.52673,997.4504,994.7481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,319,-0.65527344,-0.13891602,0.77319336,987.771,974.53436,5.2824426,0.08154297,-0.19067383,0.99365234,999.55725,997.4962,994.67175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,321,-0.6152344,-0.17529297,0.7453613,987.69464,974.6565,5.2824426,0.119140625,-0.20800781,0.98339844,999.61835,997.5115,994.73285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,323,-0.6477051,-0.18652344,0.76049805,987.5725,974.7023,5.2824426,0.14526367,-0.24536133,0.9460449,999.603,997.6336,994.8855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,325,-0.67407227,-0.12182617,0.7766113,987.542,974.67175,5.221374,0.048828125,-0.2548828,0.9885254,999.5725,997.5725,994.87024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,327,-0.6599121,-0.13256836,0.7751465,987.4962,974.5649,5.068702,0.045410156,-0.21728516,0.95874023,999.61835,997.4962,994.855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
